word,chunk,postposition,dependency-head,dependency,is_arg,srl,predicate,head-POS
कोशिश,NP12,0,VGF,k1s,1,ARG2-ATR,VGF,n
है,VGF,है,0,root,0,,,v
प्रवक्ता,NP,0_का,VGF,k1,1,ARG0,VGF,n
कहना,VGF,ना_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
आंदोलन,NP2,0_के_दौरान,VGF2,k7t,0,,,n
लीग,NP3,0_ने,VGF2,k1,0,,,n
आरक्षण,NP4,0_का,NP5,r6-k2,0,,,n
मांग,NP5,0,VGF2,pof,0,,,n
उठाई,VGF2,या_था,CCP,ccof,0,,,v
उसकी,NP,का,NP2,r6,0,,,pn
मांग,NP2,0_ने,VGF,k2,0,,,n
जोर,NP3,0,VGF,pof,0,,,n
पकड़ा,VGF,या,CCP,ccof,0,,,v
और,CCP,0,0,root,0,,,avy
इसका,NP4,का,NP5,r6,0,,,pn
परिणाम,NP5,0,VGF2,k1,1,ARG1,VGF2,n
देश,NP6,0_का,NP7,r6,0,,,n
विभाजन,NP7,0_का,NP8,r6,0,,,n
रूप,NP8,0_में,VGF2,k7,1,ARG2-ATR,VGF2,n
हुआ,VGF2,या,CCP,ccof,0,,,v
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF,pn
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
मुद्दों,NP2,0_पर,VGF2,k7,0,,,n
सरकार,NP3,0_का,NP4,r6-k2,0,,,n
आलोचना,NP4,0,VGF2,pof,0,,,n
कर,VGF2,0_रह+या_है,CCP,ccof,0,,,v
पार्टी,NP,0_का,VGF,k1,1,ARG0,VGF,n
कहना,VGF,ना_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
बैंक,NP2,0_को,VGNN,k2,0,,,n
मजबूत,JJP,0,VGNN,pof,0,,,adj
बनाने,VGNN,ना_के_लिए,VGNN2,rt,0,,,v
तरह,NP3,0_का,NP4,r6,0,,,n
मांग,NP4,0_का,NP5,r6-k2,0,,,n
समर्थन,NP5,0,VGNN2,pof,0,,,n
करने,VGNN2,ना_से,VGF2,rh,0,,,v
देश,NP6,0_में,VGF2,k7p,0,,,n
एकता,NP7,0,CCP2,ccof,0,,,n
व,CCP2,0,NP9,r6-k1,0,,,avy
सांप्रदायिक,JJP2,0,NP8,nmod,0,,,adj
सोहार्द्र,NP8,0_का,CCP2,ccof,0,,,n
माहौल,NP9,0,VGF2,pof,0,,,n
बिगड़ता,VGF2,ता_है,CCP,ccof,0,,,v
ब्रिटेन,NP,0_ने,VGF,k1,1,ARG0,VGF,n
शुक्रवार,NP2,0_को,VGF,k7t,1,ARGM-TMP,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
वह,NP3,0,VGF2,k1,1,ARG0,VGF3,pn
परिषद,NP4,0_में,VGF2,k7,0,,,n
भारत,NP5,0_का,NP6,r6,0,,,n
सदस्यता,NP6,0_का,NP7,r6-k2,0,,,n
समर्थन,NP7,0,VGF2,pof,0,,,n
करेगा,VGF2,गा,CCP2,ccof,0,,,v
लेकिन,CCP2,0,CCP,ccof,0,,,avy
ही,NP8,0,VGF3,sent-adv,1,ARGM-MNR,VGF3,avy
कहा2,VGF3,या,CCP2,ccof,0,,,v
कि2,CCP3,0,VGF3,k2,1,ARG1,VGF3,avy
वह2,NP9,0,VGF4,k1,1,ARG0,VGNF,pn
आमसभा,NP10,0_का,NP11,r6,0,,,n
सत्र,NP11,0_में,VGF4,k7,1,ARGM-LOC,VGF4,n
परिषद2,NP12,0_का,NP13,r6,0,,,n
NULL2,NULL2,0,0,root,0,,,NULL
विस्तार,NP13,0_को,VGNF,k2,1,ARG1,VGNF,n
लेकर,VGNF,कर,VGF4,vmod,1,ARGM-MNR,VGF4,v
देशों,NP14,0_का,NP15,r6,0,,,n
प्रस्ताव,NP15,0_का,NP16,r6,0,,,n
प्रायोजक,NP16,0,VGF4,k1s,1,ARG2-ATR,VGF4,n
होगा,VGF4,गा,CCP3,ccof,0,,,v
भारत,NP,0_में,NP3,nmod,0,,,n
ब्रिटेन,NP2,0_का,NP3,r6,0,,,n
उच्चायुक्त,NP3,0,NP4,nmod,0,,,n
आर्थर,NP4,0_ने,VGF,k1,1,ARG0,VGF,n
यहाँ,NP5,0,VGF,k7p,1,ARGM-LOC,VGF,pn
कांफ्रेंस,NP6,0_में,VGF,k7,1,ARGM-LOC,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
ब्रिटेन2,NP7,0,VGF2,k1,0,,,n
सीट,NP8,0_के_लिए,VGF2,rt,0,,,n
भारत2,NP9,0_का,NP11,r6-k2,0,,,n
तरह,NP10,0,VGF2,adv,0,,,n
समर्थन,NP11,0,VGF2,pof,0,,,n
करता,VGF2,ता_है,CCP,ccof,0,,,v
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF,pn
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
राष्ट्र,NP2,0_को,VGF2,k1,1,ARG1,VGF2,n
वैधता,NP3,0,VGF2,k2,1,ARGM-MNR,VGF2,n
NULL2,NULL__NP,0,0,root,0,,,NULL
NULL3,NULL__NP,0,0,root,0,,,NULL
बनाए,VGNF,या,VGF2,vmod,1,ARGM-MNR,VGF2,v
रखनी,VGF2,ना_है,VGF3,vmod,1,ARGM-ADV,VGF3,v
तो,CCP2,0,CCP,ccof,0,,,avy
हमारा,NP4,का,VGF3,k1,1,ARG0,VGF3,pn
मानना,VGF3,ना_है,CCP2,ccof,0,,,v
कि2,CCP3,0,VGF3,k2,1,ARG1,VGF3,avy
भारत,NP5,0_को,VGF4,k1,1,ARG1,VGF4,n
उसका,NP6,का,NP7,r6,0,,,pn
सदस्य,NP7,0,VGF4,k1s,1,ARG2-ATR,VGF4,n
होना,VGF4,ना_चाह+एं,CCP3,ccof,0,,,v
आर्थर,NP,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
ब्रिटेन,NP2,0,VGF2,k1,1,ARG1,VGF2,n
भारत,NP3,0_का,NP4,r6,0,,,n
समर्थक,NP4,0,VGF2,k1s,1,ARG2-ATR,VGF2,n
है,VGF2,है,CCP2,ccof,0,,,v
और,CCP2,0,CCP,ccof,0,,,avy
वह,NP5,0,VGF3,k1,1,ARG0,VGF3,pn
परिषद,NP6,0_का,NP7,r6,0,,,n
विस्तार,NP7,0_को,VGNF,k2,1,ARG1,VGNF,n
लेकर,VGNF,कर,VGF3,vmod,1,ARGM-MNR,VGF3,v
समूह,NP8,0_का,NP9,r6,0,,,n
प्रस्ताव,NP9,0_का,NP10,r6,0,,,n
पक्ष,NP10,0_में,VGF3,k7,1,ARGM-LOC,VGF3,n
मत,NP11,0,VGF3,k2,1,ARG1,VGF3,n
देगा,VGF3,गा,CCP2,ccof,0,,,v
उच्चायुक्त,NP,0_से,VGNN,k4,1,ARG2-SOU,VGNN,n
यह,NP2,0,VGNN,k2,1,ARG1,VGNN,pn
पूछे,VGNN,या_जा+ना_पर,VGF2,vmod,0,,,v
कि,CCP,0,NP2,rs,0,,,avy
क्या,RBP,0,VGF,adv,1,ARGM-DIS,VGF,pn
संबंध,NP3,0_में,VGF,k7,1,ARGM-LOC,VGF,n
ब्रिटेन,NP4,0,VGF,k1,1,ARG1,VGF,n
समूह,NP5,0_का,NP6,r6,0,,,n
प्रायोजक,NP6,0,VGF,k1s,1,ARG2-ATR,VGF,n
होगा,VGF,गा,CCP,ccof,0,,,v
उन्होंने,NP7,ने,VGF2,k1,1,ARG0,VGNN2,pn
ऐसा,NP8,0,VGNN2,k2,1,ARG1,VGNN2,pn
करने,VGNN2,ना_से,VGF2,vmod,0,,,v
इन्कार,NP9,0,VGF2,pof,0,,,n
कर,VGF2,0_दे+या,0,root,0,,,v
मौके,NP,0_पर,VGF,k7t,1,ARGM-DIS,VGF,n
उन्होंने,NP2,ने,VGF,k1,1,ARG0,VGF,pn
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
कश्मीर,NP3,0_का,NP4,r6,0,,,n
हिस्से,NP4,0,VGF2,k7p,0,,,n
विदेशियों,NP5,0_के_लिए,VGF2,rt,0,,,n
सुरक्षित,JJP,0,VGF2,pof,0,,,adj
हैं,VGF2,है,CCP,ccof,0,,,v
हालांकि,CCP,0,0,root,0,,,avy
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF,pn
कहा,VGF,या,CCP,ccof,0,,,v
कि,CCP2,0,VGF,k2,1,ARG1,VGF,avy
ब्रिटेन,NP2,0,VGF2,k1,1,ARG0,VGNF,n
हाल,NP3,0_में,VGNF,k7t,1,ARGM-TMP,VGNF,n
यात्रा,NP4,0_को,VGNF,k2,1,ARG1,VGNF,n
लेकर,VGNF,कर,JJP,jjmod,0,,,v
जारी,JJP,0,NP5,nmod,0,,,adj
चेतावनी,NP5,0_का,NP6,r6-k2,0,,,n
समीक्षा,NP6,0,VGF2,pof,0,,,n
करेगा,VGF2,गा,CCP2,ccof,0,,,v
जिसमें,NP7,में,VGF3,k7,0,,,pn
कश्मीर,NP8,0_में,VGNN,k7p,1,ARGM-LOC,VGNN,n
अभी,NP9,0,VGNN,k7t,1,ARGM-EXT,VGNN,pn
तनाव,NP10,0,VGNN,k1,1,ARG1,VGNN,n
होने,VGNN,ना_का,NP11,r6-k2,0,,,v
दावा,NP11,0,VGNF2,pof,0,,,n
NULL2,NULL2,0,0,root,0,,,NULL
करते,VGNF2,ता_हो+एं,VGNN2,vmod,1,ARGM-MNR,VGNN2,v
नागरिकों,NP12,0_को,VGF3,k4,1,ARG0,VGNN2,n
वहाँ,NP13,0,NP14,nmod,0,,,pn
हिंसा,NP14,0_का,NP15,r6,0,,,n
वजह,NP15,0_से,VGNN2,rh,1,ARGM-CAU,VGNN2,n
जाने,VGNN2,ना_का,NP16,r6-k2,0,,,v
सलाह,NP16,0,VGF3,pof,0,,,n
दी,VGF3,या_जा+या१_था,NP5,nmod__relc,0,,,v
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF,pn
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
हम,NP2,0,VGF2,k1,0,,,pn
नागरिकों,NP3,0_के_लिए,VGF2,rt,0,,,n
चेतावनी,NP4,0_का,NP5,r6-k2,0,,,n
समीक्षा,NP5,0,VGF2,pof,0,,,n
करने,VGF2,ना_रह+या_है,CCP,ccof,0,,,v
इससे,NP,से_पहला,CCP,sent-adv,0,,,pn
सिंह,NP2,0_ने,VGF,k1,1,ARG0,VGF,n
सप्ताह,NP3,0,VGF,k7t,1,ARGM-TMP,VGF,n
यात्रा,NP4,0_का,NP5,r6,0,,,n
समय,NP5,0,VGF,k7t,1,ARGM-TMP,VGF,n
मसला,NP6,0,VGF,k2,1,ARG1,VGF,n
स्ट्रॅ,NP7,0_के_,VGF,k7,1,ARGM-EXT,VGF,n
उठाया,VGF,या_था,CCP,ccof,0,,,v
और,CCP,0,0,root,0,,,avy
वहाँ,NP8,0_का,NP9,r6,0,,,pn
सरकार,NP9,0_को,VGF2,k4,1,ARG2,VGF2,n
चेतावनी,NP10,0,VGNN,k2,0,,,n
वापस,JJP,0,VGNN,pof,0,,,adj
लेने,VGNN,ना_को,VGF2,k2,1,ARG1,VGF2,v
कहा,VGF2,या_था,CCP,ccof,0,,,v
कंप्यूटर,NP,0_का,NP2,r6-k2,0,,,n
प्रयोग,NP2,0,VGNN,pof,0,,,n
करने,VGNN,ना_वाला,VGF,k1,1,ARG1,VGF,v
फिर,RBP,0,VGF,adv,1,ARGM-MNR,VGF,adv
सावधान,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
हो,VGF,0_जा+या,0,root,0,,,v
क्योंकि,CCP,0,VGF,rh,1,ARGM-CAU,VGF,avy
वक्त,NP3,0,VGF2,k7t,1,ARG0,VGNN2,n
वाइरस,NP4,0,VGF2,k1,1,ARG0,VGF2,n
आपके,NP5,का,NP6,r6,0,,,pn
कंप्यूटर2,NP6,0_को,VGNN2,k4,1,ARG2,VGNN2,n
नुकसान,NP7,0,VGNN2,k2,1,ARG1,VGNN2,n
पहुंचाने,VGNN2,ना,VGF2,vmod,1,ARGM-PRP,VGF2,v
आ,VGF2,0_रह+या_है,CCP,ccof,0,,,v
आपके,NP,का,NP2,r6,0,,,pn
कंप्यूटर,NP2,0_को,VGF,k4,1,ARG1,VGF,n
बीमारी,NP3,0,VGF,k1,1,ARG2-ATR,VGF,n
लग,VGF,0_सक+ता_है,0,root,0,,,v
जिसके,NP4,के_लिए,VGF2,rt,1,ARGM-PRP,VGF2,pn
वेबसाइट,NP5,0,VGF2,k1,1,ARG1,VGF2,n
जिम्मेदार,JJP,0,NP3,nmod__relc,0,,,adj
होगी,VGF2,गा,NP3,nmod__relc,0,,,v
यानी,CCP,0,0,root,0,,,avy
वेबसाइट,NP,0_के_चल,VGF,vmod,1,ARGM-CAU,VGF,n
आप,NP2,0,VGF,k1,1,ARG0,VGF,pn
परेशानी,NP3,0_में,VGF,k7,1,ARGM-LOC,VGF,n
पड़,VGF,0_जा+गा,CCP,ccof,0,,,v
कंप्यूटरों,NP,0_का,NP2,r6,0,,,n
सुरक्षा,NP2,0_से,VGNF,k2,1,ARG1,VGNF,n
जुड़े,VGNF,एं,NP3,nmod__k1inv,0,,,v
विशेषज्ञों,NP3,0_ने,VGF,k1,1,ARG0,VGNF,n
बताया,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
",",BLK,0,CCP2,ccof,0,,,punc
",2",BLK2,0,CCP2,ccof,0,,,punc
",3",BLK3,0,CCP2,ccof,0,,,punc
टोफर,BLK4,0,CCP2,ccof,0,,,unk
या,CCP2,0,NP4,nmod,0,,,avy
जैसे,BLK5,0,CCP2,ccof,0,,,avy
प्रोग्राम,NP4,0,VGNN,k2,0,,,n
डाउनलोड,BLK6,0,VGNN,pof,0,,,unk
करने,VGNN,ना_पर,VGF2,vmod,0,,,v
कंप्यूटरों2,NP5,0_से,VGF2,k3,0,,,n
प्रोग्रामों,NP6,0_को,VGF2,k2,0,,,n
हैक,BLK7,0,VGF2,pof,0,,,unk
किया,VGF2,या_जा_सक+ता_है,CCP,ccof,0,,,v
विशेषज्ञों,NP,0_का,VGF,k1,1,ARG0,VGF,n
मानना,VGF,ना_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
प्रोग्राम,BLK,0,VGF2,k3,0,,,unk
सूचनाओं,NP2,0_के,RBP,r6,0,,,n
अलावा,RBP,0,VGF2,adv,0,,,psp
पासवर्ड,NP3,0_को,VGF2,k2,0,,,n
चोरी,NP4,0,VGF2,pof,0,,,n
किया,VGF2,या_जा_सक+ता_है,CCP,ccof,0,,,v
विशेषज्ञ,NP,0,VGF,k1,1,ARG0,VGF,n
कहते,VGF,ता_है,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
अगर,CCP2,0,VGF3,vmod,0,,,avy
स्कॉब,NP2,0_से,JJP,jjmod,0,,,unk
प्रभावित,JJP,0,NP3,nmod,0,,,adj
पेज,NP3,0_को,VGF2,k2,1,ARG1,VGF2,n
खोलेंगे,VGF2,गा,CCP2,ccof,0,,,v
तो,CCP3,0,CCP,ccof,0,,,avy
आपका,NP4,का,NP5,r6,0,,,pn
कंप्यूटर,NP5,0,VGF3,k1,0,,,n
वेबसाइट,NP6,0_से,VGF3,k5,0,,,n
फाइल,NP7,0_को,VGF3,k2,0,,,n
डाउनलोड,BLK,0,VGF3,pof,0,,,unk
कर,VGF3,0_सक+ता_है,CCP3,ccof,0,,,v
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF,pn
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
राजग,NP2,0_ने,VGF2,k1,1,ARG0,VGNN,n
बिहार,NP3,0_में,VGNN,k7p,1,ARGM-LOC,VGNN,n
सरकार,NP4,0,VGNN,k2,1,ARG1,VGNN,n
बनाने,VGNN,ना_के_लिए,VGF2,rt,1,ARGM-PRP,VGF2,v
खेल,NP5,0,VGF2,k2,1,ARG1,VGF2,n
खेला,VGF2,या,CCP,ccof,0,,,v
विभाग,NP,0_का,NP2,r6,0,,,n
सचिवों,NP2,0_का,NP3,r6,0,,,n
सम्मेलन,NP3,0_का,NP4,r6,0,,,n
मौके,NP4,0_पर,VGF,k7,1,ARGM-TMP,VGF,n
प्रसाद,NP5,0_ने,VGF,k1,1,ARG0,VGF,n
बुधवार,NP6,0_को,VGF,k7t,1,ARGM-TMP,VGF,n
पत्रकारों,NP7,0_से,VGF,k4,1,ARG2,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
राजग,NP8,0_ने,VGF2,k1,1,ARG0,VGF2,n
लोकतंत्र,NP9,0_को,VGNN,k2,0,,,n
चोट,NP10,0,VGNN,pof,0,,,n
पहुंचाने,VGNN,ना_में,VGF2,k7,1,ARGM-MNR,VGF2,v
कसर,NP11,0,VGF2,k2,1,ARG1,VGF2,n
छोड़ी,VGF2,या,CCP,ccof,0,,,v
विधानसभा,NP,0,VGNN,k2,0,,,n
भंग,NP2,0,VGNN,pof,0,,,n
करने,VGNN,ना_को,VGNF,rt,1,ARGM-PRP,VGNF,v
उन्होंने,NP3,ने,VGF,k1,1,ARG0,VGF,pn
देर,NP4,0_से,VGNF,adv,1,ARGM-MNR,VGNF,n
लिया,VGNF,या_जा+या१,NP5,nmod__pofinv,0,,,v
फैसला,NP5,0,VGF,k2,1,ARG1,VGNF,n
बताया,VGF,या,0,root,0,,,v
उन्होंने,NP,ने,VGF,k1,1,ARG0,VGF,pn
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
विधायकों,NP2,0_का,NP3,r6,0,,,n
फरोख्त,NP3,0,VGNN,k2,1,ARG1,VGNN,n
रोकने,VGNN,ना_के_लिए,VGNN2,rt,0,,,v
सदन,NP4,0_को,VGNN2,k2,0,,,n
भंग,NP5,0,VGNN2,pof,0,,,n
करने,VGNN2,ना_का_अलावा,VGF2,k1,1,ARGM-MNR,VGF2,v
विकल्प,NP6,0,VGF2,k1s,1,ARG1,VGF2,n
था,VGF2,था,CCP,ccof,0,,,v
विधायकों,NP,0_का,NP2,r6,0,,,n
फरोख्त,NP2,0_का,NP3,r6,0,,,n
खेल,NP3,0_में,VGNN,k7,0,,,n
शामिल,JJP,0,VGNN,pof,0,,,adj
होने,VGNN,ना_के_लिए,VGF,rt,1,ARGM-PRP,VGF,v
नेतृत्व,NP4,0_वाला,NP5,nmod,0,,,n
राजग,NP5,0_का,NP6,r6-k2,0,,,n
आलोचना,NP6,0,VGNF,pof,0,,,n
करते,VGNF,ता_हो+एं,VGF,vmod,1,ARGM-MNR,VGF,v
प्रसाद,NP7,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
चुनाव,NP8,0_में,VGNN2,k7,1,ARGM-LOC,VGNN2,n
पार्टी,NP9,0_का,NP10,r6,0,,,n
रूप,NP10,0_में,VGNN2,k7,1,ARGM-MNR,VGNN2,n
उभरने,VGNN2,ना_के_बाद,VGF2,k7t,0,,,v
राजद,NP11,0_ने,VGF2,k1,1,ARG1,VGNN2,n
NULL2,NULL__NP,0,0,root,0,,,NULL
सरकार,NP12,0,VGNN3,k2,1,ARG1,VGNN3,n
बनाने,VGNN3,ना_का,NP13,r6,0,,,v
दावा,NP13,0,VGF2,k2,0,,,n
पेश,JJP2,0,VGF2,pof,0,,,adj
किया,VGF2,या_था,CCP,ccof,0,,,v
जबकि,CCP,0,0,root,0,,,avy
राजग,NP,0_ने,VGF,k1,0,,,n
दावा,NP2,0,VGNN,k2,0,,,n
पेश,JJP,0,VGNN,pof,0,,,adj
करने,VGNN,ना_के_बजाय,VGNN3,vmod,0,,,v
राज्यपाल,NP3,0_से,VGF,k2,0,,,n
प्रसाद,NP4,0_को,VGNN3,k2,1,ARG0,VGNN2,n
सरकार,NP5,0,VGNN2,k2,1,ARG1,VGNN2,n
बनाने,VGNN2,ना_के_लिए,VGNN3,rt,0,,,v
आमंत्रित,JJP2,0,VGNN3,pof,0,,,adj
करने2,VGNN3,ना_का,NP6,r6-k2,0,,,v
मांग,NP6,0,VGF,pof,0,,,n
की2,VGF,या,CCP,ccof,0,,,v
प्रसाद,NP,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
झारखंड,NP2,0_में,VGNF,k7p,0,,,n
राजग,NP3,0_ने,VGF2,k1,1,ARG0,VGF2,n
विधायकों,NP4,0_का,NP5,r6-k2,0,,,n
अपहरण,NP5,0,VGNF,pof,0,,,n
कर,VGNF,0,VGF2,vmod,1,ARGM-MNR,VGF2,v
उन्हें,NP6,को,VGF2,k2,1,ARG1,VGF2,pn
राजस्थान,NP7,0_में,VGF2,k7p,1,ARGM-LOC,VGF2,n
रखा,VGF2,या_था,CCP2,ccof,0,,,v
जबकि,CCP2,0,CCP,ccof,0,,,avy
बिहार,NP8,0_में,VGNF2,k7p,0,,,n
उनका,NP9,का,NP10,r6-k2,0,,,pn
अपहरण2,NP10,0,VGNF2,pof,0,,,n
कर2,VGNF2,0,VGF3,vmod,1,ARGM-MNR,VGF3,v
झारखंड2,NP11,0,VGF3,k2p,1,ARG1,VGF3,n
ले,VGF3,0_जा+या_जा+या१,CCP2,ccof,0,,,v
चुनावों,NP,0_का,NP2,r6,0,,,n
तारीख,NP2,0_के_बारे_में,VGF,k7,1,ARGM-LOC,VGF,n
उन्होंने,NP3,ने,VGF,k1,1,ARG0,VGF,pn
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
इस,NP4,0_बारे_में,VGF2,k7,1,ARGM-ADV,VGF2,pn
फैसला,NP5,0,VGF2,k1,1,ARG1,VGF2,n
आयोग,NP6,0_का,NP7,r6,0,,,n
विशेषाधिकार,NP7,0,VGF2,k1s,1,ARG2-ATR,VGF2,n
है,VGF2,है,CCP,ccof,0,,,v
चुनावों,NP,0_से_पहले,VGF,k7t,1,ARGM-TMP,VGF,n
ताकतों,NP2,0_का,NP3,r6,0,,,n
ध्रुवीकरण,NP3,0_के_बारे_में,VGF,k7,1,ARGM-LOC,VGF,n
उन्होंने,NP4,ने,VGF,k1,1,ARG0,VGNF,pn
सवाल,NP5,0,VGNF,k2,1,ARG1,VGNF,n
टालते,VGNF,ता_हो+एं,VGF,vmod,1,ARGM-MNR,VGF,v
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
चुनावों2,NP6,0_से_पहले,VGF2,k7t,1,ARGM-TMP,VGF2,n
गठबंधन,NP7,0,VGF2,k1,1,ARG1,VGF2,n
हो,VGF2,0_जा+गा,CCP,ccof,0,,,v
लोजपा,NP,0_के_साथ,VGF,ras-k1,1,ARGM-MNR,VGF,n
गठजोड़,NP2,0_के_बारे_में,VGF,k7,1,ARGM-LOC,VGF,n
प्रसाद,NP3,0_ने,VGF,k1,1,ARG0,VGF,n
कहा,VGF,या,0,root,0,,,v
कि,CCP,0,VGF,k2,1,ARG1,VGF,avy
पासवान,NP4,0,VGF2,k1,1,ARG1,VGF2,n
हो,VGF2,0,CCP2,ccof,0,,,v
या,CCP2,0,CCP3,ccof,0,,,avy
नहीं,NEGP,0,NULL__VGF,fragof,0,,,avy
",",CCP3,0,CCP,ccof,0,,,
हम,NP5,0,VGF3,k1,0,,,pn
राजग,NP6,0_को,VGF3,k2,0,,,n
खत्म,JJP,0,VGF3,pof,0,,,adj
कर,VGF3,0_दे+गा,CCP3,ccof,0,,,v
प्रधानमंत्री,NP,0_जैसे,VGF,k2,0,,,n
देश,NP2,0_का,NP,r6,0,,,n
पद,NP3,0,VGF,k7p,0,,,n
पहुंचने,VGNN,ना_वाला,NP4,nmod,0,,,v
पुत्र,NP4,0_को,VGF,k4,1,ARG0,VGNN,n
लोगों,NP5,0_ने,VGF,k1,0,,,n
आंखों,NP6,0_से,VGF,k3,0,,,n
विदाई,NP7,0,VGF,pof,0,,,n
दी,VGF,या,0,root,0,,,v
शनिवार,NP,0_को,VGF,k7t,0,,,n
हैदराबाद,NP2,0,VGF,k7p,0,,,n
हाल,NP3,0_से,VGF,k5,0,,,n
तिरंगे,NP4,0_में,VGF,k7p,0,,,n
लिपटे,VGNF,एं,NP5,nmod,0,,,v
राव,NP5,0_का,VGF,k4,1,ARG1,VGNF,n
यात्रा,NP6,0,VGF,pof,0,,,n
निकाली,VGF,या_जा+या१,0,root,0,,,v
रेजिमेंट,NP,0_ने,VGF,k1,1,ARG0,VGNF,n
गोले,NP2,0,VGF,k2,0,,,n
दागकर,VGNF,कर,VGF,vmod,0,,,v
राव,NP3,0_को,VGF,k4,0,,,n
सलामी,NP4,0,VGF,pof,0,,,n
दी,VGF,या,0,root,0,,,v
समय,NP,0,VGF,k7t,1,ARGM-TMP,VGF,n
माहौल,NP2,0,VGF,k1,1,ARG1,VGF,n
गमगीन,JJP,0,VGF,k1s,1,ARG2-ATR,VGF,adj
हो,VGF,0_जा+या१,CCP,ccof,0,,,v
और,CCP,0,0,root,0,,,avy
वातावरण,NP3,0,VGF3,k1,1,ARG1,VGF3,n
राव,NP4,0,VGF2,k1,1,ARG1,VGF2,n
अमर,JJP2,0,VGF2,k1s,1,ARG2-ATR,VGF2,adj
रहे,VGF2,या,NP5,rs,0,,,v
नारों,NP5,0_से,VGF3,k2,1,ARGM-MNS,VGF3,n
गूंज,VGF3,0_उठा,CCP,ccof,0,,,v
राव,NP,0,VGF,k1,0,,,n
प्रधानमंत्री,NP2,0_का,VGF,r6,0,,,n
पद,NP3,0,VGF,k2p,0,,,n
पहुंचने,VGNN,ना_वाला,NP4,nmod,0,,,v
भारतीय,NP4,0,VGF,pof,1,ARG0,VGNN,n
थे,VGF,था,0,root,0,,,v
उन्हें,NP,0,VGNN,k4,0,,,pn
विदा,NP2,0,VGNN,pof,0,,,n
देने,VGNN,ना_के_लिए,VGF,rt,1,ARGM-PRP,VGF,v
उनके,NP3,0,VGF,k2,1,ARGM-ADV,VGF,pn
जिले,NP4,0_में,JJP,jjmod,0,,,n
स्थित,JJP,0,NP5,nmod,0,,,adj
गांव,NP5,0_से,VGF,k5,1,ARG2-SOU,VGF,n
ग्रामीण,NP6,0,VGF,k1,1,ARG0,VGF,n
आए,VGF,या_था,0,root,0,,,v
राव,NP,0_का,VGF,r6,1,ARGM-ADV,VGF,n
संस्कार,NP2,0_में,VGF,k7t,1,ARGM-LOC,VGF,n
हिस्सा,NP3,0,VGNN,nmod,1,ARG1,VGNN,n
लेने,VGNN,ना_के_ले+या,VGF,rt,1,ARGM-PRP,VGF,v
सिंह,NP4,0,VGF,k1,1,ARG0,VGF,n
सुबह,NP5,0,VGF,k7t,1,ARGM-TMP,VGF,n
अपनी,NP6,0,NP7,r6,0,,,pn
पत्नी,NP7,0,NP8,nmod,0,,,n
कौर,NP8,0_के_साथ,VGF,ras-k1,1,ARGM-MNR,VGF,n
विमान,NP9,0_से,VGF,k3,1,ARGM-MNS,VGF,n
हैदराबाद,NP10,0,VGF,k2p,1,ARG2-GOL,VGF,n
पहुंचे,VGF,0,0,root,0,,,v
वह,NP,0,VGF,k1,1,ARG0,VGF,pn
